"nazwa"	"alg"
"nf"	"R D M D2 M' D R'"
"nr"	"D M' U' R' U M U' R UD'"
"ng"	"M2 U' R' U M2 U' R U"
"no"	"U2 M U R' U' M' U R U"
"nh"	"U R U R U' R' U' R' U' R"
"nt"	"D' M' U' R' U M U' R UD"
"up"	"E L U L' E' L U' L'"
"ud"	"x' U' M' U2 M U' x"
"uj"	"L2 E L U L' E' L U' L"
"uz"	"x R U R' U' R' U' R' U R U x'"
"ue"	"r' u M u2 M u r"
"uk"	"M2 U R' U' M U R U' M"
"uf"	"y' L U' M' U2 M U' L' y"
"ur"	"x' L U' M' U2 M U' L' x"
"ug"	"M U R' U' M2 U R U' M"
"uo"	"x U2 M' U' R2 U M U' R2 U' x'"
"uh"	"u' R E' R2 E R u"
"ut"	"x' U' M2 U R' U' M2 U R x"
"pj"	"x' U' M' U L2 U' M U rL"
"pz"	"L U L' E' L U' L' E"
"pe"	"U2 M2 U' L U M2 U' L' U'"
"pk"	"M' U L U' M U L' U'"
"pf"	"U' L' U' L' U L U L U L'"
"pr"	"D M' U L U' M U L' U'D'"
"pg"	"M2 U L U' M2 U L' U'"
"po"	"U2 M U' L U M' U' L' U'"
"ph"	"U' R E' R2 E R U"
"pt"	"D' M' U L U' M U L' U'D"
"dj"	"E L' U L E' L' U' L"
"dz"	"x' U M2 U' L2 U M2 U' rL"
"de"	"l u' M u2 M u' l'"
"dk"	"M2 U' L U M U' L' U M"
"df"	"y' L' U' M' U2 M U' L y"
"dr"	"x' U M2 U' L U M2 U' L' x"
"dg"	"M U' L U M2 U' L' U M"
"do"	"x U2 M' U L2 U' M U L2 U x'"
"dh"	"u' R' E R2 E' R u"
"dt"	"x' R' U M' U2 M U R x"
"je"	"U2 M2 U' L' U M2 U' L U'"
"jk"	"M' U L' U' M U L U'"
"jf"	"U' L U L U' L' U' L' U' L U2"
"jr"	"D M' U L' U' M U L U'D'"
"jg"	"M2 U L' U' M2 U L U'"
"jo"	"U2 M U' L' U M' U' L U'"
"jh"	"U' R' E R2 E' R U"
"jt"	"D' M' U L' U' M U L U'D"
"ze"	"u' U' M2 U R U' M2 U R' u"
"zk"	"x l' U' L U M U' L' U L x'"
"zf"	"y' U' M2 U R U' M2 U R' y"
"zr"	"y' U M' U' R U M U' R' y"
"zg"	"M U' L' U M2 U' L U M"
"zo"	"x U M' U M U M' U M x'"
"zh"	"y' U M2 U' R U M2 U' R' y"
"zt"	"l' U' R' U' R U R U R U' x'"
"ef"	"M' U2 M D M' U2 M D'"
"er"	"L F' E' L2 E L2 F L'"
"eg"	"u2 M' u2 M'"
"eo"	"x U' M U' M U2 M' U' M' U x'"
"eh"	"R2 U R2 f2 R2 U R2 f2"
"et"	"R' F E R2 E' R2 F' R"
"kf"	"U L2 U' M' U L2 U' M"
"kr"	"x U' L' U M' U' L U M x'"
"kg"	"U' F' l' U M' U' R U r' l U"
"ko"	"U M' U' M U2 M U M' U'"
"kh"	"U' R2 U M' U' R2 U M"
"kt"	"x U R U' M' U R' U' M x'"
"fg"	"M2 U L2 U' M2 U L2 U'"
"fo"	"U2 M U' L2 U M' U' L2 U'"
"fh"	"D' M D2 M' D'"
"ft"	"x E R U R' E' R U' R' x'"
"rg"	"x M2 U' L' U M2 U' L U x'"
"ro"	"M D M' D M D M' D"
"rh"	"S' U' R2 U S U' R2 U"
"rt"	"M' D M' D2 M D M"
"gh"	"U' R2 U M2 U' R2 U M2"
"gt"	"r U R U' M2 U R' U' M'R'"
"oh"	"U' R2 U' M U R2 U' M' U2"
"ot"	"D M D M' D M D M'"
"mb"	"l U L' U' M' U L U' L'"
"cb"	"R2 U R U R' U' R' U' R' U R'"
"ib"	"U' R' U' R U M U' R' U r U"
"lb"	"R' U R U R' U' R' U' R' U R2"
"sb"	"U L E' L' U' L E L'"
"nb"	"R U R U R' U' R' U' R' U"
"ub"	"U L' E L U' L' E' L"
"pb"	"L' U' L' U' L' U L U L U"
"db"	"U' R E' R' U' R E R' U2"
"jb"	"r' U' M' U L' U' M U Lr"
"zb"	"U' R' E R U' R' E' R U2"
"eb"	"M U2 M U' M' U2 M' U"
"kb"	"l' U L U' M U L' U' L"
"fb"	"U' L U L' U' L' U' L' U L U2"
"rb"	"U L E L' U' L E' L'"
"gb"	"U2 M' U2 M' U' M U2 M U'"
"ob"	"U' M U' M' U' M U' M'"
"hb"	"U R U R' U' R' U' R' U R"
"tb"	"U' R' E' R U' R' E R U2"
"aw"	"U' M U M' U2 M U M' U"
"mw"	"L' U' L U M' U' L' U l"
"cw"	"S' L F' L' S L F L'"
"iw"	"M U M' U2 M U M'"
"lw"	"F R U' M' U2 M U' R' F'"
"sw"	"R M U M' U2 M U M' R'"
"nw"	"R' U' r U R' U' M U R U' R' U R"
"uw"	"R' M U M' U2 M U M' R"
"pw"	"U' l U M' U2 M U l' U"
"dw"	"M U M2 U' L U M2 U' l'"
"jw"	"r U R' E R U R' E' R U2 r'"
"zw"	"r' U M2 U' L' U M2 U' rL"
"ew"	"M U' M' U2 M' U2 M2 U M'"
"kw"	"x M' U' L U M U' L' U x'"
"fw"	"S L F' L' S' L F L'"
"rw"	"F L E' L2 E L F'"
"gw"	"x M2 U' L U M2 U' L' U x'"
"ow"	"M' U M' U M U M' U M2"
"hw"	"r U' L E' L' U L E L'r'"
